,street,LICENSE..,STATUS,APPLICANT,TRADE.NAME,ADDRESS,SMD,CLASS,DESCRIPTION,YelpCorrect,Selection.DATE,Month.Sort,FY.Sort,Applicant,Owner.Name
927,2002 P ST NW,"ABRA‐
082212",Active,"D‐P, Inc.",Pesce,"2002 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B02",C,Restaurant,,AUG 2006,200608,FY2006,,2000 P STREET TRUST
929,2003 18TH ST NW,"ABRA‐
086012",Active,"The Juniper Group, LLC",The Blaguard,"2003 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Restaurant,,JAN 2008,200801,FY2008,,"2 BLAGUARDS, LLC"
932,2004 18TH ST NW,"ABRA‐
097032",Active,Jam Holdings LLC,Duplex Diner,"2004 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C01",C,Restaurant,2006,DEC 2014,201412,FY2014,,SHERRY A. GORE
938,2007 14TH ST NW,"ABRA‐
076166",Active,"2007 14th Street 
Productions, LLC",Marvin,"2007 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B12",C,Tavern,,OCT 2007,200710,FY2007,,"RICHARD E. HILTON, YAMA JEWAYNI"
939,2007 18TH ST NW,"ABRA‐
081997",Active,"Adams Morgan F&B, LLC",Jack Rose,"2007 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Restaurant,,MAY 2011,201105,FY2011,ADAMS MORGAN  F & B LLC,2007 18TH STREET LLC
942,2009 8TH ST NW,"ABRA‐
076801",Active,"The Art of Lounge, LLC",Town,"2009 8TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B01",C,Nightclub,,OCT 2014,201410,FY2014,,"C.B. 8TH STREET, LLC"
946,201 MASSACHUSETTS AVE NE,"ABRA‐
022105",Active,Red River Grill L L C,Union Pub,"201 MASSACHUSETTS AVE, NE, 
WASHINGTON, DC 20002","SMD 
6C02",C,Restaurant,,JAN 2006,200601,FY2006,,WILLIAMS
950,201 MASSACHUSETTS AVE NE,"ABRA‐
079542",Active,"Woomi Kyoto Sushi, Inc.",Woomi Koyto Sushi,"201 MASSACHUSETTS AVE, NE, 
STE# 303, WASHINGTON, DC 
20002","SMD 
6C02",C,Restaurant,,JAN 2006,200601,FY2006,,WILLIAMS
953,201 UPSHUR ST NW,"ABRA‐
099323",Active,"201 Upshur Hospitality, 
LLC",Slash Run,"201 UPSHUR ST, NW, 
WASHINGTON, DC 20011","SMD 
4C10",C,Restaurant,,APR 2015,201504,FY2015,,201 UPSHUR ST LLC
957,2010 9TH ST NW,"ABRA‐
086205",Active,"Flora Restaurant and 
Lounge, LLC","Ghion Restaurant and 
Lounge","2010 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Tavern,,NOV 2010,201011,FY2010,"FLORA RESTAURANT AND LOUNGE, LLC",NIGIST ASFAHA TRUSTEE
959,2011 S ST NW,"ABRA‐
095816",Active,"Sapol Varadaa, LLC",Thai Phoon,"2011 S ST, NW, WASHINGTON, 
DC 20009","SMD 
2B01",C,Restaurant,,JUL 2014,201407,FY2014,,ACADIA CONNECTICUT AVENUE LLC
963,2016 P ST NW,"ABRA‐
083131",Active,"Ezme, Inc.",Ezme,"2016 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B02",C,Restaurant,,JAN 2009,200901,FY2009,FONSECA,"D-P, INC."
965,2016 P ST NW,"ABRA‐
091333",Active,POR JAI LLC,Bangkok Thai Dining,"2016 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B02",C,Restaurant,,JAN 2009,200901,FY2009,FONSECA,"D-P, INC."
966,2017 14TH ST NW,"ABRA‐
023734",Active,"Two Brothers & a Sister, 
Inc.",Jin,"2017 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B12",C,Tavern,,JUN 2015,201506,FY2015,,EVANS WILLOUGHBY AND JOYCE WILLOUGHBY
971,2019 11TH ST NW,"ABRA‐
078743",Active,"Chix, LLC",Chix,"2019 11TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",D,Restaurant,,SEP 2007,200709,FY2007,,SOV HUN C
972,202 M ST SE,"ABRA‐
089126",Active,"Canal Park 
Entertainment, LLC",Park Tavern,"202 M ST, SE, WASHINGTON, DC 
20003","SMD 
6D07",C,Restaurant,,MAR 2013,201303,FY2013,CANAL PARK  ENTERTAINMENT LLC,SQUARE 769 LLC
977,2020 9TH ST NW,"ABRA‐
096629",Active,"Thaighter Crossing, Inc.",Thaixing 9th Street,"2020 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Restaurant,,AUG 2014,201408,FY2014,,EARNEST C. SMITH
980,2020 P ST NW,"ABRA‐
095030",Active,"INDIA GET RESTAURANT, 
INC.",India Gate,"2020 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B02",C,Restaurant,,MAY 2014,201405,FY2014,,GEORGE J RECACHINAS TRUSTEE
984,2029 P ST NW,"ABRA‐
092250",Active,SKILL SET LLC,THOMAS FOOLERY,"2029 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B02",C,Restaurant,,SEP 2010,201009,FY2010,"CLAMENZAH,  L L C.",GROSVENOR URBAN RETAIL LP
985,2029 P ST NW,"ABRA‐
010664",Active,"Obelisk, Inc.",Obelisk,"2029 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B02",C,Restaurant,,SEP 2010,201009,FY2010,"CLAMENZAH,  L L C.",GROSVENOR URBAN RETAIL LP
986,2031 FLORIDA AVE NW,"ABRA‐
076726",Active,"Vulcan, LLC",McClellan's Retreat,"2031 FLORIDA AVE, NW, 
WASHINGTON, DC 20008","SMD 
2D02",C,Tavern,,OCT 2014,201410,FY2014,,2033 FLORIDA LLC
989,2036 G ST NW,"ABRA‐
075297",Active,Tonic at Quigley's LLC,Tonic,"2036 G ST, NW, WASHINGTON, 
DC 20006","SMD 
2A08",C,Restaurant,,MAY 2007,200705,FY2007,TONIC AT QUIGLEYS LLC,THE GEORGE WASHINGTON UNIVERSITY
992,2047 9TH ST NW,"ABRA‐
087296",Active,"H2, LLC",Satellite Room,"2047 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B11",C,Tavern,,AUG 2012,201208,FY2012,,IAN HILGON
994,2100 14TH ST NW,"ABRA‐
096425",Active,"Social Restaurant Group 
LLC",Provision No. 14,"2100 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B04",C,Restaurant,2015,OCT 2014,201410,FY2014,,MANSOUR ASKARINAM
999,2100 P ST NW,"ABRA‐
082174",Active,"Zodiac Restaurant Group, 
Inc.",Scion Restaurant,"2100 P ST, NW, WASHINGTON, 
DC 20037","SMD 
2B02",C,Restaurant,,MAY 2009,200905,FY2009,"ZODIAC RESTAURANT GROUP, INC.",GIOBATTA C. BRUZZO
1001,2101 L ST NW,"ABRA‐
092362",Active,"MJA, LLC",Stoney's on L,"2101 L ST, NW, WASHINGTON, 
DC 20037","SMD 
2A06",C,Restaurant,2014,NOV 2013,201311,FY2013,,CESC 2101 L STREET LLC
1006,2101 L ST NW,"ABRA‐
091608",Active,"Krung‐Thep Washington, 
LLC",SOI 38,"2101 L ST, NW, WASHINGTON, 
DC 20037","SMD 
2A06",C,Restaurant,,MAR 2014,201403,FY2014,,CESC 2101 L STREET LLC
1010,2106 VERMONT AVE NW,"ABRA‐
100438",Active,"Callister Technology and 
Entertainment, Inc.","Duffy's Irish Restaurant and
Pub","2106 VERMONT AVE, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Tavern,,MAY 2006,200605,FY2006,,DUFFY
1012,212 7TH ST SE,"ABRA‐
080056",Active,"Acqua 2 Limited 
Partnership I","Acqua al 2/Suna/Harold 
Black Bar","212 7TH ST, SE, WASHINGTON, 
DC 20003","SMD 
6B02",C,Restaurant,,APR 2010,201004,FY2010,ACQUA 2 LP,JUANITA M VIDI TRUSTEE
1015,2121 K ST NW,"ABRA‐
098866",Active,"Sugar, LLC",Sugar,"2121 K ST, NW, WASHINGTON, 
DC 20037","SMD 
2A06",C,Tavern,,JUL 2015,201507,FY2015,,2121 K LLC
1018,2121 K ST NW,"ABRA‐
087084",Active,"BBP K Street, LLC",Bobby's Burger Palace,"2121 K ST, NW, WASHINGTON, 
DC 20037","SMD 
2A06",C,Restaurant,,AUG 2011,201108,FY2011,"B B P K STREET, LLC. ",2121 K LLC
1022,2122 P ST NW,"ABRA‐
093549",Active,"Asian 328, LLC",Asia 54,"2122 P ST, NW, WASHINGTON, 
DC 20037","SMD 
2B02",C,Restaurant,,SEP 2013,201309,FY2013,ASIAN  328 LLC,GROSVENOR URBAN RETAIL LP
1025,2127 QUEENS CHAPEL RD NE,"ABRA‐
094244",Active,"RCX, LLC",Stadium Club,"2127 QUEENS CHAPEL RD, NE, 
WASHINGTON, DC 20018","SMD 
5C02",C,Nightclub,,JUN 2010,201006,FY2010,"THE STADIUM GROUP, LLC.",WFJ LLC
1028,2132 WISCONSIN AVE NW,"ABRA‐
088282",Active,"Nimellis Pizzeria, LLC",Cafe Romeo's,"2132 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
3B02",D,Restaurant,,DEC 2001,200112,FY2001,,2132 WISCONSIN ASSOC
1032,2142 L ST NW,"ABRA‐
097661",Active,CB118 LLC,"Char Bar Restaurant and 
Eli's Market","2142 L ST, NW, WASHINGTON, 
DC 20037","SMD 
2A06",D,Restaurant,,AUG 2014,201408,FY2014,,WINSTON HOUSE ASSOCIATES LLC
1033,2200 MARTIN LUTHER KING JR AVE SE,"ABRA‐
091887",Active,"Gebtri, Inc.","Cedar Hill Bar & Grill / 
Uniontown Bar & Grill","2200 MARTIN LUTHER KING JR 
AVE, SE, WASHINGTON, DC 
20020","SMD 
8A06",C,Tavern,,MAY 2013,201305,FY2013,GEBTRI INC.,CURTIS PROPERTIES INC
1038,2200 PENNSYLVANIA AVE NW,"ABRA‐
085365",Active,"Passion Food Six, LLC","District Commons/Burger 
Tap & Shake","2200 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20037","SMD 
2A07",C,Restaurant,,APR 2011,201104,FY2011,,GEORGE WASHINGTON UNIVERSITY
1041,2214 RHODE ISLAND AVE NE,"ABRA‐
097981",Active,E&K Real LLC,Nido,"2214 RHODE ISLAND AVE, NE, 
WASHINGTON, DC 20018","SMD 
5C07",C,Tavern,,JAN 2015,201501,FY2015,,"E&K REAL, LLC"
1046,2218 WISCONSIN AVE NW,"ABRA‐
092955",Active,"Mad Fox Brewing 
Company Taproom, LLC","Mad Fox Brewing Company 
Taproom","2218 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
3B02",C,Restaurant,,JUL 2015,201507,FY2015,,G. ALAFOGINIS TRUSTEES & J. ALAFOGINIS TRUSTEES
1049,2221 I ST NW,"ABRA‐
086726",Active,"MHG Cafe Foggy Bottom, 
LLC",Circa at Foggy Bottom,"2221 I ST, NW, WASHINGTON, 
DC 20037","SMD 
2A07",C,Restaurant,,JUL 2011,201107,FY2011,"ROTI SAUACE 54, LLC",GEORGE WASHINGTON UNIVERSITY
1055,223 PENNSYLVANIA AVE SE,"ABRA‐
072017",Active,"Dunmore, LLC",Sonoma,"223 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003","SMD 
6B01",C,Restaurant,,DEC 2004,200412,FY2004,,INC
1058,2233 WISCONSIN AVE NW,"ABRA‐
078085",Active,"Glover Park F & B, LLC",Breadsoda,"2233 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
3B02",C,Restaurant,,MAY 2008,200805,FY2008,,CHILDREN''S HOSPITAL
1061,224 7TH ST SE,"ABRA‐
098813",Active,"Boxcar Partners, LLC",Boxcar Tavern,"224 7TH ST, SE, WASHINGTON, 
DC 20003","SMD 
6B02",C,Restaurant,,DEC 2011,201112,FY2011,"EASTERN MARKET  ENTERTAINMENT, LLC.",224 7TH STREET LLC
1063,2305 18TH ST NW,"ABRA‐
079577",Active,"Himalayan Heritage, Inc.",Himalayan Heritage,"2305 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Restaurant,,JUL 2008,200807,FY2008,,CHAMPLAIN CT CO OP INC
1065,2309 WISCONSIN AVE NW,"ABRA‐
094610",Active,"Washington DC Asian 
Food Corporation",Sushi Keiko,"2309 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
3B02",C,Restaurant,,JUN 2014,201406,FY2014,,DAISUKE UTAGAWA
1075,231 2ND ST NW,"ABRA‐
074714",Active,"Jun & Jin, Inc.",Momoyama,"231 2ND ST, NW, WASHINGTON, 
DC 20001","SMD 
6C02",C,Restaurant,,JUL 2005,200507,FY2005,,L5K LLC
1078,2311 CALVERT ST NW,"ABRA‐
088262",Active,"Pirosi, LLC",Cafe Sorriso,"2311 CALVERT ST, NW, 
WASHINGTON, DC 20008","SMD 
3C01",C,Restaurant,,OCT 2011,201110,FY2011,,"PIRO, LLC"
1082,2321 18TH ST NW,"ABRA‐
097968",Active,"Cathedral Lane, LLC",Bourbon,"2321 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Tavern,2006,MAR 2015,201503,FY2015,,"BOURBON R E, LLC"
1083,2323 18TH ST NW,"ABRA‐
094052",Active,"2323 TTTDC on 18th, LLC",The Town Tavern,"2323 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Tavern,,DEC 2008,200812,FY2008,2323 RESTAURANT ON 18TH LLC,SOLEIMAN ASKARINAM
1087,2327 18TH ST NW,"ABRA‐
074503",Active,"Green Island Heaven and 
Hell, Inc.","The Green Island 
Cafe/Heaven & Hell","2327 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Tavern,2005,FEB 2008,200802,FY2008,,FRANCK P
1088,233 2ND ST NW,"ABRA‐
075915",Active,"Hamilton Restaurant 
Group, Inc.",Hamilton's Bar & Grill,"233 2ND ST, NW, WASHINGTON, 
DC 20001","SMD 
6C02",C,Tavern,,NOV 2006,200611,FY2006,,PATRICIA GOGOS
1092,2333 18TH ST NW,"ABRA‐
060401",Active,Zinat Inc.,Johnny Pistolas,"2333 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Restaurant,,APR 2013,201304,FY2013,ZINAT  CORPORATION,IRAJ & SOLEIMAN CORPORATION
1093,2337 18TH ST NW,"ABRA‐
097821",Active,"Last Laugh, LLC",High Dive,"2337 18TH ST, NW, 
WASHINGTON, DC 20036","SMD 
1C07",C,Tavern,,MAR 2015,201503,FY2015,,2337 BOND ST EQUITIES LLC
1096,235 CARROLL ST NW,"ABRA‐
092008",Active,"Busboys of Takoma, LLC",Busboys & Poets ‐ Takoma,"235 CARROLL ST, NW, 
WASHINGTON, DC 20012","SMD 
4B07",C,Restaurant,,FEB 2015,201502,FY2015,,FCP TAKOMA CENTRAL LLC
1100,2400 WISCONSIN AVE NW,"ABRA‐
020640",Active,"Shamiana, LLC",Heritage India/Malgudi,"2400 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
3B02",C,Restaurant,2005,FEB 2013,201302,FY2013,"WE ARE 4 PARTNERS, LIMITED LIABILITY COMPANY",GEORGE GALICH PROPERTY LLC
1101,2400 WISCONSIN AVE NW,"ABRA‐
091137",Active,We Are 4 Partners LLC,Arcuri,"2400 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
3B02",C,Restaurant,,FEB 2013,201302,FY2013,"WE ARE 4 PARTNERS, LIMITED LIABILITY COMPANY",GEORGE GALICH PROPERTY LLC
1103,2404 WISCONSIN AVE NW,"ABRA‐
089768",Active,"Wine Investment Group 
LLC",Slate Wine Bar & Bistro,"2404 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
3B02",C,Restaurant,,JUL 2012,201207,FY2012,"WINE INVESTMENT GROUP, LLC.",LINDA LEE
1106,2411 18TH ST NW,"ABRA‐
072529",Active,"Ventnor Group, LLC",Ventnor Sports Cafe,"2411 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Restaurant,,JUN 2009,200906,FY2009,VENTNOR  GROUP LLC,OSCAR GUARDADO
1111,2427 18TH ST NW,"ABRA‐
078091",Active,"AAB, LLC",Black Squirrel,"2427 18TH ST, NW, UNIT B, 
WASHINGTON, DC 20009","SMD 
1C07",C,Restaurant,,DEC 2007,200712,FY2007,,ZION HAIR & SKIN CARE
1113,2431 18TH ST NW,"ABRA‐
097380",Active,BUL Corp.,BUL,"2431 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Restaurant,,DEC 2014,201412,FY2014,,EMILY J PHIFER
1119,2435 18TH ST NW,"ABRA‐
086298",Active,"Tas, LLC",Libertine,"2435 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Restaurant,,DEC 2012,201212,FY2012,,2435 18TH STREET LLC
1120,2436 14TH ST NW,"ABRA‐
093542",Active,"EZ Group, LLC",Creme,"2436 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B05",C,Restaurant,,JUN 2014,201406,FY2014,,DCO 2400 14TH STREET LLC
1123,2436 18TH ST NW,"ABRA‐
086063",Active,"Doughboy Enterprises, 
LLC",Mellow Mushroom,"2436 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C03",C,Tavern,,OCT 2011,201110,FY2011,"DOUGHBOY ENTERPRISES, LLC",RALPH SNYDER
1130,2447 18TH ST NW,"ABRA‐
076693",Active,"Grand Central, LLC",Grand Central,"2447 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Restaurant,,MAR 2007,200703,FY2007,,VASILE
1135,2450 18TH ST NW,"ABRA‐
088119",Active,Twin T's LLC,DC Shenanigans,"2450 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C03",C,Tavern,,NOV 2011,201111,FY2011,TWIN T'S LLC.,ADELPHI PARTNERS LLC
1139,2463 18TH ST NW,"ABRA‐
084505",Active,Tropicalia Project LLC,Bossa Brazilian Bistro,"2463 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Restaurant,,FEB 2002,200202,FY2002,,WARD
1143,2471 18TH ST NW,"ABRA‐
088772",Active,"New Asylum, LLC",Smoke & Barrel,"2471 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Tavern,2011,MAY 2012,201205,FY2012,,HARILAOS LLC
1147,2477 18TH ST NW,"ABRA‐
096137",Active,"Songbyrd, L.L.C.",Songbyrd,"2477 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1C07",C,Tavern,,AUG 2014,201408,FY2014,,SHOWBOAT 2473 LLC
1150,250 K ST NE,"ABRA‐
092242",Active,"T D BURGER DC, LLC",TD   BURGER,"250 K ST, NE, WASHINGTON, DC 
20002","SMD 
6C06",C,Tavern,,AUG 2013,201308,FY2013,,UNION PLACE PHASE I
1154,2512 L ST NW,"ABRA‐
071333",Active,51st LLC,The 51st State,"2512 L ST, NW, WASHINGTON, 
DC 20037","SMD 
2A03",C,Tavern,,DEC 2002,200212,FY2002,,TOWNSEND
1156,2514 L ST NW,"ABRA‐
095946",Active,"Siam Rice DC, Inc.",CHARMTHAI,"2514 L ST, NW, WASHINGTON, 
DC 20037","SMD 
2A03",C,Restaurant,,SEP 2003,200309,FY2003,,DEOUDES
1157,2519 PENNSYLVANIA AVE NW,"ABRA‐
078057",Active,"Pocomo, LLC",Bayou,"2519 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20037","SMD 
2A02",C,Tavern,,NOV 2007,200711,FY2007,,TRIANGLE COMM ASSN INC
1162,2524 L ST NW,"ABRA‐
091022",Active,Sunflower Inc.,"FLAVORS OF 
INDIA/MARSHALL'S BAR","2524 L ST, NW, WASHINGTON, 
DC 20037","SMD 
2A03",C,Tavern,,MAY 2013,201305,FY2013,SUNFLOWER  INC,TAREK A MOUKALLED
1169,2618 GEORGIA AVE NW,"ABRA‐
088870",Active,JOEL MIRELES CAstILLO,Dulcinea Bar and Grill,"2618 GEORGIA AVE, NW, 
WASHINGTON, DC 20001","SMD 
1B03",C,Restaurant,,DEC 2011,201112,FY2011,JOEL  CASTILLO,HESSAMEDDIN S YOUSEFI
1171,2619 CONNECTICUT AVE NW,"ABRA‐
076441",Active,"Woodley Cafe Partners, 
Inc.",Woodley Cafe,"2619 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20018","SMD 
3C01",C,Restaurant,,MAR 2003,200303,FY2003,,CONLON FAMILY LTD PRTNSP
1175,2621 CONNECTICUT AVE NW,"ABRA‐
096643",Active,Macintyre's Pub LLC,Macintyre's Pub,"2621 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008","SMD 
3C01",C,Restaurant,,DEC 2014,201412,FY2014,,AMY B. PICKENS
1182,2625 CONNECTICUT AVE NW,"ABRA‐
089438",Active,"Grace Japanese 
Corporation",Umi Japanese Cuisine,"2625 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008","SMD 
3C01",C,Restaurant,,JUN 2011,201106,FY2011,UMI Q CORPORATION,KALAMATA SERIES OF VALIARA LLC
1190,2632 GEORGIA AVE NW,"ABRA‐
094013",Active,"Benti Lounge, LLC",Peace Lounge,"2632 GEORGIA AVE, NW, 
WASHINGTON, DC 20001","SMD 
1B03",C,Tavern,2014,FEB 2012,201202,FY2012,SALT & PEPPER GRILL INC,SAMSON MESKEL
1191,2635 CONNECTICUT AVE NW,"ABRA‐
087904",Active,"The Noodle Shop Co.‐
Colorado, Inc.",Noodles & Company,"2635 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008","SMD 
3C01",C,Restaurant,,DEC 2011,201112,FY2011,,GROSVENOR URBAN RETAIL LP
1196,2649 CONNECTICUT AVE NW,"ABRA‐
096593",Active,"Hospitality Brothers 
Group, Inc.",Cafe Paradiso,"2649 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008","SMD 
3C01",C,Restaurant,2006,SEP 2010,201009,FY2010,,NUHA LLC
1198,2651 CONNECTICUT AVE NW,"ABRA‐
086226",Active,"PANDA BEAR, LLC.",HOT AND JUICY CRAWFISH,"2651 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008","SMD 
3C01",C,Restaurant,,DEC 2010,201012,FY2010,"PANDA BEAR , LLC.",EDWIN S ROCKEFELLER
1202,2700 NEW YORK AVE NE,"ABRA‐
086961",Active,"T & L Investment Group, 
LLC",Panda Gourmet,"2700 NEW YORK AVE, NE, 
WASHINGTON, DC 20002","SMD 
5C04",C,Restaurant,,APR 2013,201304,FY2013,T & L INVESTMENT GROUP LLC,T&L HOSPITALITY INC
1207,2815 M ST NW,"ABRA‐
077337",Active,"PQ Georgetown, Inc.",Le Pain Quotidien,"2815 M ST, NW, WASHINGTON, 
DC 20007","SMD 
2E06",C,Restaurant,,SEP 2007,200709,FY2007,,LE PAIN QUOTIDEN
1212,2915 CONNECTICUT AVE NW,"ABRA‐
087273",Active,Panini LLC,Lillie's Restaurant,"2915 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008","SMD 
3C01",C,Restaurant,,FEB 2011,201102,FY2011,,CATHCONN ASSOCIATES LP
1213,2915 M ST NW,"ABRA‐
090993",Active,"Cabo Negro, Inc.",Maxime Steak Frites & Bar,"2915 M ST, NW, WASHINGTON, 
DC 20007","SMD 
2E06",C,Restaurant,2015,AUG 2013,201308,FY2013,CABO NEGRO INC,WHEELER NAOMA AND ASHER L
1215,2917 M ST NW,"ABRA‐
087556",Active,"Next Door Dining, LLC",Unum,"2917 M ST, NW, WASHINGTON, 
DC 20007","SMD 
2E06",C,Restaurant,,AUG 2011,201108,FY2011,"NEXT DOOR DINING, LLC",A.L. WHEELER AND A.L. WHEELER TRUSTEE
1218,2934 M ST NW,"ABRA‐
086918",Active,Saigon Ventures LLC,Pier 2934,"2934 M ST, NW, WASHINGTON, 
DC 20007","SMD 
2E05",C,Restaurant,,FEB 2014,201402,FY2014,,2930 M STREET LLC
1222,300 TINGEY ST SE,"ABRA‐
090281",Active,"Neighborhood Restaurant 
Group XIII, LLC",Bluejacket/The Arsenal,"300 TINGEY ST, SE, 
WASHINGTON, DC 20003","SMD 
6D07",C,Restaurant,,JUL 2013,201307,FY2013,,FC BOILERMAKER LLC
1223,300 TINGEY ST SE,"ABRA‐
094846",Active,"CM‐YARDS, LLC",100 Montaditos,"300 TINGEY ST, SE, 
WASHINGTON, DC 20003","SMD 
6D07",D,Restaurant,,OCT 2013,201310,FY2013,,FC BOILERMAKER LLC
1226,300 TINGEY ST SE,"ABRA‐
092802",Active,Nando's at the Yards LLC,Nando's Peri Peri,"300 TINGEY ST, SE, 
WASHINGTON, DC 20003","SMD 
6D07",C,Restaurant,,JUL 2013,201307,FY2013,,FC BOILERMAKER LLC
1235,3000 K ST NW,"ABRA‐
071453",Active,Ark Potomac Corp,Sequoia Grill,"3000 K ST, NW, STE # 00500, 
WASHINGTON, DC 20007","SMD 
2E05",C,Restaurant,,NOV 2005,200511,FY2005,,AGRARIA LLC
1237,3000 K ST NW,"ABRA‐
074934",Active,"Farmers Fishers  Bakers, 
LLC",Farmers Fishers Bakers,"3000 K ST, NW, WASHINGTON, 
DC 20037","SMD 
2E05",C,Restaurant,,OCT 2012,201210,FY2012,"FARMERS & FISHERS, LLC",RP MRP WASHINGTON HARBOUR LLC
1250,3000 K ST NW,"ABRA‐
010762",Active,"Dancing Crab of 
Washington Harbour Ltd 
Partnership",Tony & Joe's Seafood Place,"3000 K ST, NW, WASHINGTON, 
DC 20007","SMD 
2E05",C,Restaurant,,DEC 2001,200112,FY2001,,STP WASHINGTON HARBOUR VENTURE
1254,3003 M ST NW,"ABRA‐
090427",Active,"I‐Thai, LLC",I‐Thai,"3003 M ST, NW, WASHINGTON, 
DC 20007","SMD 
2E06",C,Restaurant,,MAR 2014,201403,FY2014,,3001 M STREET NW LP
1257,301 TINGEY ST SE,"ABRA‐
090630",Active,"Poyloung Group DC, LLC",Kruba,"301 TINGEY ST, SE, 
WASHINGTON, DC 20003","SMD 
6D07",C,Restaurant,,NOV 2012,201211,FY2012,"POYLOUNG GROUP DC, LLC",
1260,301 WATER ST SE,"ABRA‐
092083",Active,Morini DC LLC,Osteria Morini/Nicoletta,"301 WATER ST, SE, 
WASHINGTON, DC 20003","SMD 
6D07",C,Restaurant,,DEC 2013,201312,FY2013,,FC LUMBER SHED LLC
1263,301 WATER ST SE,"ABRA‐
092094",Active,"Agua 301, Inc.",Agua 301,"301 WATER ST, SE, 
WASHINGTON, DC 20003","SMD 
6D07",C,Restaurant,,DEC 2013,201312,FY2013,,FC LUMBER SHED LLC
1266,305 PENNSYLVANIA AVE SE,"ABRA‐
082062",Active,"Kookoovaya, Inc","We, The Pizza","305 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003","SMD 
6B01",C,Restaurant,,APR 2006,200604,FY2006,,KAVADIAS
1270,3050 K ST NW,"ABRA‐
091251",Active,"FT Mare DC, LLC",Fiola Mare,"3050 K ST, NW, WASHINGTON, 
DC 20007","SMD 
2E05",C,Restaurant,,JAN 2014,201401,FY2014,,WASHINGTON HARBOUR OWNER LLC
1281,3050 K ST NW,"ABRA‐
095194",Active,Orange Anchor 3050LLC,Orange Anchor,"3050 K ST, NW, WASHINGTON, 
DC 20007","SMD 
2E05",C,Restaurant,,JAN 2015,201501,FY2015,,WASHINGTON HARBOUR OWNER LLC
1282,3050 K ST NW,"ABRA‐
017308",Active,"PPT, Inc.",Nick's Riverside Grille,"3050 K ST, NW, UNIT A, 
WASHINGTON, DC 20007","SMD 
2E05",C,Restaurant,,FEB 2004,200402,FY2004,,3050 K ASSOC
