,LICENSE..,STATUS,APPLICANT,TRADE.NAME,ADDRESS,YearOpen,SMD,CLASS,DESCRIPTION,street
838,"ABRA‐
095955",Active,"HOA Restaurant Holder, 
LLC",Hooters,"827 7TH ST, NW, WASHINGTON, 
DC 20001",2006,"SMD 
2C01",C,Restaurant,827 7TH ST NW
902,"ABRA‐
098286",Active,"HD Enterprises, Inc.",Hunan Dynasty,"215 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003",2006,"SMD 
6B01",C,Restaurant,215 PENNSYLVANIA AVE SE
130,"ABRA‐
012545",Active,I Ricchi Inc.,I Ricchi,"1220 19TH ST, NW, UNIT B, 
WASHINGTON, DC 20036",2006,"SMD 
2B06",C,Restaurant,1220 19TH ST NW
511,"ABRA‐
083707",Active,"GF, Inc.",Il Canale,"1063‐1065 31ST ST, NW, 
WASHINGTON, DC",2010,"SMD 
2E05",C,Restaurant,1063‐1065 31ST ST NW
238,"ABRA‐
060244",Active,"RTI, Inc.",Il Tesoro,"4400 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",2006,"SMD 
3F06",C,Restaurant,4400 CONNECTICUT AVE NW
266,"ABRA‐
060528",Active,"Dakshin, Inc.",Indique,"3512 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",2005,"SMD 
3C05",C,Restaurant,3512 CONNECTICUT AVE NW
991,"ABRA‐
060298",Active,"Irish Channel, LLC",Irish Channel Restaurant,"500 H ST, NW, UNIT A, 
WASHINGTON, DC 20001",2006,"SMD 
2C03",C,Tavern,500 H ST NW
679,"ABRA‐
090284",Active,"Neighborhood Restaurant 
Group XIV, LLC",Iron Gate,"1734‐1738 N ST, NW, 
WASHINGTON, DC 20036",2013,"SMD 
2B05",C,Restaurant,1734‐1738 N ST NW
1067,"ABRA‐
081525",Active,"Iron Horse, LLC",Iron Horse,"507 7TH ST, NW, WASHINGTON, 
DC 20004",2010,"SMD 
2C01",C,Tavern,507 7TH ST NW
543,"ABRA‐
085456",Active,"2608 Connecticut 
Avenue, LLC",Italian Pizza Kitchen,"2608 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",2007,"SMD 
3C02",C,Restaurant,2608 CONNECTICUT AVE NW
1205,"ABRA‐
093795",Active,"Ivy City Tavern, Inc.",Ivy City Tavern,"1356 OKIE ST, NE, 
WASHINGTON, DC 20002",2015,"SMD 
5D01",C,Tavern,1356 OKIE ST NE
622,"ABRA‐
088274",Active,"Restaurant Seki, LLC",Izakaya Seki,"1117 V ST, NW, WASHINGTON, 
DC 20009",2012,"SMD 
1B02",C,Restaurant,1117 V ST NW
338,"ABRA‐
072358",Active,"J. Paul's DC, LLC",J Paul's,"3218 M ST, NW, WASHINGTON, 
DC 20007",2006,"SMD 
2E05",C,Restaurant,3218 M ST NW
357,"ABRA‐
074004",Active,"Rainbow Inn, Inc",Jackey Cafe,"611 H ST, NW, WASHINGTON, 
DC 20001",2006,"SMD 
2C01",C,Restaurant,611 H ST NW
559,"ABRA‐
086013",Active,"UGLY MUG, LLC",JAKE'S AMERICAN GRILLE,"5016‐5018 CONNECTICUT AVE, 
NW, WASHINGTON, DC 20008",2011,"SMD 
3F06",C,Restaurant,5016‐5018 CONNECTICUT AVE NW
158,"ABRA‐
019105",Active,Tapas Y Mas Inc.,Jaleo,"480 7TH ST, NW, WASHINGTON, 
DC 20004",2005,"SMD 
2C03",C,Restaurant,480 7TH ST NW
417,"ABRA‐
077039",Active,"The Bards of Washington, 
LLC",James Hoban's,"1 DUPONT CIR NW, 
WASHINGTON, DC 20036",2007,"SMD 
2B02",C,Restaurant,1 DUPONT CIR NW
1307,"ABRA‐
072780",Active,"Aha, Corp.",Java House,"1645 Q ST, NW, WASHINGTON, 
DC 20009",2006,"SMD 
2B04",D,Restaurant,1645 Q ST NW
899,"ABRA‐
098041",Active,"H & J Oriental 
Corporation",Jenny's,"668 WATER ST, SW, 
WASHINGTON, DC 20024",2015,"SMD 
6D04",C,Restaurant,668 WATER ST SW
1039,"ABRA‐
076330",Active,"Jvlhc, LLC","Jimmy Valentine's Lonely 
Hearts Club","1103 BLADENSBURG RD, NE, 
WASHINGTON, DC 20002",2007,"SMD 
5D03",C,Tavern,1103 BLADENSBURG RD NE
291,"ABRA‐
060737",Active,Jojo Development Inc.,Jo Jo Restaurant & Bar,"1518 U ST, NW, WASHINGTON, 
DC 20009",2006,"SMD 
2B09",C,Restaurant,1518 U ST NW
787,"ABRA‐
093894",Active,"JOE'S OF DC, LLC","Joe’s Seafood, Prime Steak 
and Stone Crab","750 15TH ST, NW, 
WASHINGTON, DC 20005",2014,"SMD 
2B05",C,Restaurant,750 15TH ST NW
986,"ABRA‐
025996",Active,"Johanna's, Inc",Johana's Restaurant,"4728 14TH ST, NW, 
WASHINGTON, DC 20011",2009,"SMD 
4C02",C,Tavern,4728 14TH ST NW
362,"ABRA‐
074573",Active,"Po' Boy, LLC",Johnny's Half Shell,"400 NORTH CAPITOL ST, NW, 
WASHINGTON, DC 20001",c,"SMD 
6C02",C,Restaurant,400 NORTH CAPITOL ST NW
1085,"ABRA‐
083926",Active,"Notta Bike or Bar, LLC",Joint Chiefs,"3400 11TH ST, NW, 
WASHINGTON, DC 20010",,"SMD 
1A06",C,Tavern,3400 11TH ST NW
1042,"ABRA‐
076906",Active,1010 V Llc,Josephine,"1010 VERMONT AVE, NW, 
WASHINGTON, DC 20005",c,"SMD 
2F05",C,Tavern,1010 VERMONT AVE NW
954,"ABRA‐
009267",Active,TCR Inc,Jr's Bar and Grill,"1519 17TH ST, NW, 
WASHINGTON, DC 20036",2006,"SMD 
2B05",C,Tavern,1519 17TH ST NW
509,"ABRA‐
083690",Active,"Justin's Cafe, LLC",Justin's Cafe,"1025 1ST ST, SE, WASHINGTON, 
DC 20003",2010,"SMD 
6D02",C,Restaurant,1025 1ST ST SE
212,"ABRA‐
025982",Active,"Joyti Foods, Inc.",Jyoti Foods Cuisine,"2433 18TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C07",C,Restaurant,2433 18TH ST NW
718,"ABRA‐
091148",Active,14 W Bella LLC,Kapnos,"1315 W ST, NW, WASHINGTON, 
DC 20011",2013,"SMD 
1B04",C,Restaurant,1315 W ST NW
949,"ABRA‐
000939",Active,"Jim Dolan's, Inc.",Kellys Irish Times,"14 F ST, NW, WASHINGTON, DC 
20001",2006,"SMD 
6C02",C,Tavern,14 F ST NW
1011,"ABRA‐
071753",Active,"Kennedy Warren Club, 
LLC",Kennedy Warren Club LLC,"3133 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",,"SMD 
3C01",C,Tavern,3133 CONNECTICUT AVE NW
927,"ABRA‐
099385",Active,J Shoo & Sun A Inc.,Kenny's Smokehouse,"732 MARYLAND AVE, NE, 
WASHINGTON, DC 20002",2007,"SMD 
6C03",C,Restaurant,732 MARYLAND AVE NE
629,"ABRA‐
088512",Active,"LemLem, LLC",Keren Restaurant,"1780 FLORIDA AVE, NW 00711, 
WASHINGTON, DC 20009",2008,"SMD 
2B08",C,Restaurant,1780 FLORIDA AVE NW 00711
516,"ABRA‐
084082",Active,Khan's BBQ Inc.,Khan's,"1125 H ST, NE, WASHINGTON, 
DC 20002",2011,"SMD 
6A02",C,Restaurant,1125 H ST NE
859,"ABRA‐
096716",Active,"Army Distaff Foundation 
Inc.",Knollwood Apartments,"6200 OREGON AVE, NW, 
WASHINGTON, DC 20015",,"SMD 
3G02",C,Restaurant,6200 OREGON AVE NW
298,"ABRA‐
060765",Active,Pizzetti 824 Inc.,Komi,"1509 17TH ST, NW, 
WASHINGTON, DC 20036",2006,"SMD 
2B05",C,Restaurant,1509‐1511 17TH ST NW
298,,,,Little Serow,"1511 17TH ST, NW, 
WASHINGTON, DC 20036",2011,"SMD 
2B05",C,Restaurant,1509‐1511 17TH ST NW
324,"ABRA‐
071268",Active,Abe Corporation,Kotobuki,"4822 MACARTHUR BLVD, NW, 
UNIT B, WASHINGTON, DC 
20007",2006,"SMD 
3D05",C,Restaurant,4822 MACARTHUR BLVD NW
125,"ABRA‐
011919",Active,"Kramer Books & 
Afterwords Inc.",Kramerbooks & Afterwords,"1517 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036",2006,"SMD 
2B03",C,Restaurant,1517 CONNECTICUT AVE NW
284,"ABRA‐
060658",Active,"L'Enfant Enterprises, LLC",L'Enfant Cafe & Bar,"2000 18TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C01",C,Restaurant,2000 18TH ST NW
891,"ABRA‐
097653",Active,"K Street Dining, Inc.",L'hommage,"450 K ST, NW, WASHINGTON, DC 
20001",2015,"SMD 
6E05",C,Restaurant,450 K ST NW
69,"ABRA‐
099695",Active,"727 Concepts, LLC",L8,"727 15TH ST, NW, 
WASHINGTON, DC 20005",no,"SMD 
2C01",C,Nightclub,727 15TH ST NW
366,"ABRA‐
074849",Active,"Amaya‐I, LLC",La Cabana Restaurant,"3614 14TH ST, NW, 
WASHINGTON, DC 20010",2007,"SMD 
1A01",C,Restaurant,3614 14TH ST NW
80,"ABRA‐
000850",Active,P & P Corp,La Chaumiere,"2813 M ST, NW, WASHINGTON, 
DC 20007",2006,"SMD 
2E06",C,Restaurant,2813 M ST NW
109,"ABRA‐
008658",Active,La Fourchette Inc.,La Fourchette,"2429 18TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C07",C,Restaurant,2429 18TH ST NW
1004,"ABRA‐
070773",Active,"La Libertad Restaurant 
Inc.",La Libertad Restaurant,"4622 14TH ST, NW, 
WASHINGTON, DC 20011",2007,"SMD 
4C03",C,Tavern,4622 14TH ST NW
214,"ABRA‐
026051",Active,La Loma Inc.,La Loma,"316 MASSACHUSETTS AVE, NE A, 
WASHINGTON, DC 20002",2006,"SMD 
6C02",C,Restaurant,316 MASSACHUSETTS AVE NE A
144,"ABRA‐
015387",Active,Escobar Rincon Inc.,La Lomita Dos,"308 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003",2006,"SMD 
6B01",C,Restaurant,308 PENNSYLVANIA AVE SE
151,"ABRA‐
016357",Active,"La Lomita, Inc.",La Lomita Restaurant,"1330 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003",2006,"SMD 
6B06",C,Restaurant,1330 PENNSYLVANIA AVE SE
252,"ABRA‐
060398",Active,Los Brothers Inc.,La Molienda,"3568 14TH ST, NW, 
WASHINGTON, DC 20010",2007,"SMD 
1A01",C,Restaurant,3568 14TH ST NW
580,"ABRA‐
086595",Active,"La Morenita Restaurant, 
LLC",La Morenita,"3539 GEORGIA AVE, NW, 
WASHINGTON, DC 20010",2011,"SMD 
1A08",C,Restaurant,3539 GEORGIA AVE NW
784,"ABRA‐
093706",Active,La Piquette LLC,La Piquette,"3712‐3714 MACOMB ST, NW, 
WASHINGTON, DC 20016",2013,"SMD 
3C09",C,Restaurant,3712‐3714 MACOMB ST NW
290,"ABRA‐
060735",Active,Latasca Inc.,La Tasca,"722 7TH ST, NW, WASHINGTON, 
DC 20001",2006,"SMD 
2C01",C,Restaurant,722 7TH ST NW
122,"ABRA‐
011228",Active,"R Street Restaurant 
Corporation",La Tomate,"1703 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009",2006,"SMD 
2B01",C,Restaurant,1703 CONNECTICUT AVE NW
1187,"ABRA‐
092074",Active,Toro Bar Corporation,La Troja Billar,"3708 14TH ST, NW, 
WASHINGTON, DC 20010",,"SMD 
4C04",C,Tavern,3708 14TH ST NW
806,"ABRA‐
094826",Active,La Villa Restaurant Inc.,La Villa Cafe,"6115 GEORGIA AVE, NW, 
WASHINGTON, DC 20011",2015,"SMD 
4B04",C,Restaurant,6115 GEORGIA AVE NW
182,"ABRA‐
023745",Active,Lalibela Inc.,"Lalibela Ethiopian 
Restaurant","1415 14TH ST, NW, 
WASHINGTON, DC 20005",2006,"SMD 
2F02",C,Restaurant,1415 14TH ST NW
1037,"ABRA‐
076260",Active,"Langston Bar & Grille, LLC",Langston Bar & Grille,"1831 BENNING RD, NE, 
WASHINGTON, DC 20002",2009,"SMD 
6A07",C,Tavern,1831 BENNING RD NE
1121,"ABRA‐
087106",Active,Pierre LLC,Larrys Lounge,"1840 18TH ST, NW, 
WASHINGTON, DC 20009",2007,"SMD 
2B08",C,Tavern,1840 18TH ST NW
345,"ABRA‐
072685",Active,Andes/DC LLC,Las Canteras,"2307 18TH ST, NW, 
WASHINGTON, DC 20009",2007,"SMD 
1C07",C,Restaurant,2307 18TH ST NW
97,"ABRA‐
003812",Active,1727 Corp,Las Placitas,"517 8TH ST, SE, WASHINGTON, 
DC 20003",m,"SMD 
6B03",C,Restaurant,517 8TH ST SE
195,"ABRA‐
024814",Active,Lauriol Plaza Inc.,Lauriol Plaza Restaurant,"1835 18TH ST, NW, 
WASHINGTON, DC 20009",2005,"SMD 
2B08",C,Restaurant,1835 18TH ST NW
579,"ABRA‐
086529",Active,"Good Food, LLC",Lavagna,"539 8TH ST, SE, WASHINGTON, 
DC 20003",2011,"SMD 
6B03",C,Restaurant,539 8TH ST SE
618,"ABRA‐
088243",Active,"Parc Deux Restaurant 
Partners, LLC",Le Diplomate,"1601 14TH ST, NW, 
WASHINGTON, DC 20009",2013,"SMD 
2F01",C,Restaurant,1601 14TH ST NW
584,"ABRA‐
086724",Active,"Style Concept studio, LLC",Le Grenier,"502 H ST, NE, WASHINGTON, DC 
20002",2012,"SMD 
6C05",C,Restaurant,502 H ST NE
463,"ABRA‐
080501",Active,PQ Blaine Mansion Inc,Le Pain Quotidien,"2001 P ST, NW, WASHINGTON, 
DC 20036",,"SMD 
2B02",C,Restaurant,2001 P ST NW
1332,"ABRA‐
087083",Active,"PQ 17th Street, Inc.",Le Pain Quotidien,"800 17TH ST, NW, 
WASHINGTON, DC 20006",,"SMD 
2B06",D,Restaurant,800 17TH ST NW
1337,"ABRA‐
088176",Active,"PQ Carroll Square, Inc.",Le Pain Quotidien,"975 F ST, NW, WASHINGTON, DC 
20004",,"SMD 
2C01",D,Restaurant,975 F ST NW
1352,"ABRA‐
092075",Active,"PQ Union Station, Inc.",Le Pain Quotidien,"50 MASSACHUSETTS AVE, NE, 
WASHINGTON, DC 20002",,"SMD 
6C04",D,Restaurant,50 MASSACHUSETTS AVE NE
1365,"ABRA‐
093865",Active,PQ Mt Vernon Inc,Le Pain Quotidien,"433 MASSACHUSETTS AVE, NW, 
WASHINGTON, DC 20001",,"SMD 
6E05",D,Restaurant,433 MASSACHUSETTS AVE NW
126,"ABRA‐
012331",Active,"President & Director of 
Georgetown College",Leavey Center,"3800 RESERVOIR RD, NW, 
WASHINGTON, DC 20007",,"SMD 
2E01",C,Restaurant,3800 RESERVOIR RD NW
139,"ABRA‐
014389",Active,Three D Corporation,Lebanese Taverna,"2641 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",2006,"SMD 
3C01",C,Restaurant,2641 CONNECTICUT AVE NW
236,"ABRA‐
060194",Active,"Legal Sea Foods, LLC.",Legal Sea Foods,"702‐708 7TH ST, NW, 
WASHINGTON, DC 20001",2007,"SMD 
2C01",C,Restaurant,702‐708 7TH ST NW
201,"ABRA‐
025268",Active,"Cady's Alley Restaurant 
Concepts, LLC","Leopold's Kafe 
Konditorei/L2","3315 CADY'S ALLEY, NW, 
WASHINGTON, DC",2006,"SMD 
2E05",C,Restaurant,3315 CADY'S ALLEY NW
1021,"ABRA‐
074073",Active,"Levy Premium 
Foodservice Limited 
Partnership","Levy Restaurant at MCI 
Center ‐ Capitol Club","601 F ST, NW C, WASHINGTON, 
DC 20004",,"SMD 
2C01",C,Tavern,601 F ST NW C
939,"ABRA‐
100288",Active,"Cape Point Group, LLC",Lincoln Park/Wine Bar,"106 13TH ST, SE, WASHINGTON, 
DC 20003",2015,"SMD 
6B08",C,Restaurant,106 13TH ST SE
180,"ABRA‐
023533",Active,HML Rose Inc.,Lindys Bon Appetit,"2040 I ST, NW, WASHINGTON, 
DC 20006",2006,"SMD 
2A08",C,Restaurant,2040 I ST NW
164,"ABRA‐
020251",Active,Little Fountain Cafe Inc.,Little Fountain Cafe/Angles,"2339 18TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C07",C,Restaurant,2339 18TH ST NW
1055,"ABRA‐
079090",Active,"LMW, LLC","Little Miss Whiskey's 
Golden Dollar","1104 H ST, NE, WASHINGTON, 
DC 20002",2009,"SMD 
6A01",C,Tavern,1104 H ST NE
1359,"ABRA‐
092836",Active,"LITTLE RED FOX, LLC",Little Red Fox,"5035 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",,"SMD 
3F05",D,Restaurant,5035 CONNECTICUT AVE NW
261,"ABRA‐
060467",Active,"1600 U, Inc.",Local 16,"1600 U ST, NW, WASHINGTON, 
DC 20009",2006,"SMD 
2B08",C,Restaurant,1600 U ST NW
1327,"ABRA‐
086562",Active,"National Delicatessen, 
Inc.",Loeb's Restaurant,"1712 I ST, NW, WASHINGTON, 
DC 20006",2006,"SMD 
2B06",D,Restaurant,1712 I ST NW
884,"ABRA‐
097601",Active,"DC Restaurant Holding, 
Inc.",Logan @ The Heights,"3115 14TH ST, NE, 
WASHINGTON, DC 20017",2007,"SMD 
5B03",C,Restaurant,3115 14TH ST NE
1053,"ABRA‐
078816",Active,"Lounge of Three, Inc.",Lounge of Three,"1013 U ST, NW, WASHINGTON, 
DC 20009",2009,"SMD 
1B02",C,Tavern,1013 U ST NW
970,"ABRA‐
020234",Active,"Planet F, Inc.",Lucky Bar,"1221 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036",2006,"SMD 
2B05",C,Tavern,1221 CONNECTICUT AVE NW
42,"ABRA‐
073809",Active,"Lucky strike Washington 
DC LLC",Lucky Strike,"701 7TH ST, NW C, 
WASHINGTON, DC 20001",2006,"SMD 
2C01",C,Nightclub,701 7TH ST NW C
1283,"ABRA‐
093123",Active,Lukes Lobster IV LLC,Luke's Lobster,"624 E ST, NW, WASHINGTON, DC 
20004",2011,"SMD 
2C03",Caterer,Restaurant,624 E ST NW
570,"ABRA‐
086254",Active,"LGA, Inc.",Luna Grill,"1301 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036",2006,"SMD 
2B07",C,Restaurant,1301 CONNECTICUT AVE NW
630,"ABRA‐
088527",Active,"Stubs LLC ‐ SEE  ""VA"" 
HOURS",Lupo Verde,"1401 T ST, NW, WASHINGTON, 
DC 20009",2014,"SMD 
2B09",C,Restaurant,1401 T ST NW
1159,"ABRA‐
090509",Active,JKM Incorporated,Lyman's,"3720 14TH ST, NW, 
WASHINGTON, DC 20010",2014,"SMD 
4C04",C,Tavern,3720 14TH ST NW
19,"ABRA‐
000771",Active,Jefferson Grill Inc.,Macombo Lounge,"5335 GEORGIA AVE, NW, 
WASHINGTON, DC 20011",2007,"SMD 
4D01",C,Nightclub,5335 GEORGIA AVE NW
788,"ABRA‐
093939",Active,"Macon‐DC, LLC",Macon‐DC,"5520 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20015",2014,"SMD 
3G06",C,Restaurant,5520 CONNECTICUT AVE NW
1078,"ABRA‐
082646",Active,"Mad Hatter CT Ave, LLC",Mad Hatter,"1321 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036",2006,"SMD 
2B07",C,Tavern,1321 CONNECTICUT AVE NW
983,"ABRA‐
025273",Active,2461 Corporation,Madam's Organ,"2461 18TH ST, NW, 
WASHINGTON, DC 20009",2005,"SMD 
1C07",C,Tavern,2461 18TH ST NW
952,"ABRA‐
005811",Active,Ben Incorporated,Madrid Restaurant,"1714 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009",2015,"SMD 
2B01",C,Tavern,1714 CONNECTICUT AVE NW
336,"ABRA‐
072256",Active,"Maggiano's Holding 
Corporation",Maggiano's,"5333 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007",2005,"SMD 
3E04",C,Restaurant,5333 WISCONSIN AVE NW
83,"ABRA‐
001015",Active,Louie and Associates Inc.,Magic Gourd Restaurant,"528 23RD ST, NW, 
WASHINGTON, DC 20037",2007,"SMD 
2A05",C,Restaurant,528 23RD ST NW
159,"ABRA‐
019300",Active,"Silver Rooster 
Corporation",Makoto Restaurant,"4822 MACARTHUR BLVD, NW, 
STE A, WASHINGTON, DC 20007",2006,"SMD 
3D05",C,Restaurant,4822 MACARTHUR BLVD NW
79,"ABRA‐
000753",Active,Calvert Restaurant Inc.,"Mama Ayesha's Calvert 
Restaurant","1967 CALVERT ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C04",C,Restaurant,1967 CALVERT ST NW
591,"ABRA‐
086892",Active,"Mama Chuy DC, Inc.",Mama Chuy DC,"2620 GEORGIA AVE, NW, 
WASHINGTON, DC 20001",c,"SMD 
1B03",C,Restaurant,2620 GEORGIA AVE NW
286,"ABRA‐
060678",Active,"Bangkok Joe's, LLC",Mama Rouge,"3000 K ST, NW, 00500, 
WASHINGTON, DC 20007",c,"SMD 
2E05",C,Restaurant,3000 K ST NW 00500
385,"ABRA‐
075684",Active,"Combined Food Services 
Of Virginia Inc",Mandu,"1805 18TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
2B01",C,Restaurant,1805 18TH ST NW
536,"ABRA‐
085084",Active,Mandu LLC,Mandu,"453 K ST, NW, WASHINGTON, DC
20001",2011,"SMD 
6E05",C,Restaurant,453 K ST NW
224,"ABRA‐
060004",Active,2401 Restaurant Corp.,Marcel's,"2401 PENNSYLVANIA AVE, NW, 
UNIT B, WASHINGTON, DC",2006,"SMD 
2A02",C,Restaurant,2401 PENNSYLVANIA AVE NW
602,"ABRA‐
087559",Active,"Mari Vanna DC, LLC",Mari Vanna Restaurant,"1141 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036",2013,"SMD 
2B05",C,Restaurant,1141 CONNECTICUT AVE NW
1151,"ABRA‐
090204",Active,"La Kazbah, LLC",Marrakech Restaurant,"2147‐2149 P ST, NW, 
WASHINGTON, DC 20037",2013,"SMD 
2B02",C,Tavern,2147‐2149 P ST NW
1024,"ABRA‐
074712",Active,"Dalunas, LLC",Marx Cafe American Bar,"3203 MT PLEASANT ST, NW, 
WASHINGTON, DC 20010",2006,"SMD 
1D04",C,Tavern,3203 MT PLEASANT ST NW
498,"ABRA‐
082973",Active,"Rudraaksh, LLC",Masala Art,"4441 A WISCONSIN AVE, NW, 
WASHINGTON, DC 20016",2009,"SMD 
3E01",C,Restaurant,4441 A WISCONSIN AVE NW
1060,"ABRA‐
079644",Active,"2408 Wisconsin Avenue, 
LLC",Mason Inn,"2408 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007",2011,"SMD 
3B02",C,Tavern,2408 WISCONSIN AVE NW
906,"ABRA‐
098505",Active,"CREATIVE  
CONSOLIDATION   LLC",Masseria,"1340 4TH ST, NE, WASHINGTON, 
DC 20002",2015,"SMD 
5D01",C,Restaurant,1340 4TH ST NE
452,"ABRA‐
079276",Active,"Matchbox Capitol Hill, LLC",Matchbox,"521 8TH ST, SE, WASHINGTON, 
DC 20003",2008,"SMD 
6B03",C,Restaurant,521 8TH ST SE
620,"ABRA‐
088258",Active,Matchbox 14th Street LLC,Matchbox,"1901 14TH ST, NW, 
WASHINGTON, DC 20009",2012,"SMD 
1B12",C,Restaurant,1901 14TH ST NW
331,"ABRA‐
072014",Active,"Mate, LLC",Mate,"3101 K ST, NW, WASHINGTON, 
DC 20007",2006,"SMD 
2E05",C,Restaurant,3101 K ST NW
203,"ABRA‐
025496",Active,"Matisse Bar & Grill, LLC",Matisse Bar & Grill,"4934 WISCONSIN AVE, NW, 
WASHINGTON, DC 20016",2007,"SMD 
3E03",C,Restaurant,4934 WISCONSIN AVE NW
217,"ABRA‐
026432",Active,"McCormick & Schmick 
Restaurant Corp","Mccormick & Schmick 
Seafood Restaurant","1652 K ST, NW, WASHINGTON, 
DC 20006",2006,"SMD 
2B05",C,Restaurant,1652 K ST NW
312,"ABRA‐
070947",Active,"Mccormick & Schmick 
Restaurant Corporation","Mccormick & Schmick 
Seafood Restaurant","901 F ST, NW, UNIT A, 
WASHINGTON, DC 20004",c,"SMD 
2C01",C,Restaurant,901 F ST NW
1353,"ABRA‐
092127",Active,"Meat and Foods, LLC",Meat and Foods,"247 FLORIDA AVE, NW, 
WASHINGTON, DC 20001",2014,"SMD 
5E06",D,Restaurant,247 FLORIDA AVE NW
215,"ABRA‐
026206",Active,Cairo Inc.,Medaterra,"2614 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",2006,"SMD 
3C02",C,Restaurant,2614 CONNECTICUT AVE NW
572,"ABRA‐
086295",Active,"Medium Rare Cleveland 
Park, LLC",Medium Rare,"3500‐3502 CONNECTICUT AVE, 
NW, WASHINGTON, DC 20008",2011,"SMD 
3C05",C,Restaurant,3500‐3502 CONNECTICUT AVE NW
226,"ABRA‐
060062",Active,PD & KS Incorporated,Mehak Restaurant,"817 7TH ST, NW, WASHINGTON, 
DC 20001",c,"SMD 
2C01",C,Restaurant,817 7TH ST NW
1383,"ABRA‐
097642",Active,"MS 1901, LLC",Melt Shop,"1901 L ST, NW, WASHINGTON, 
DC 20036",c,"SMD 
2B06",D,Restaurant,1901 L ST NW
631,"ABRA‐
088564",Active,Menomale  LLC,"Menomale, LLC","2711 12TH ST, NE, 
WASHINGTON, DC 20018",2012,"SMD 
5B04",C,Restaurant,2711 12TH ST NE
473,"ABRA‐
081030",Active,Debebe Addis,"Mesobe Restaurant and 
Deli Market","1853 7TH ST, NW, 
WASHINGTON, DC 20001",,"SMD 
1B01",C,Restaurant,1853 7TH ST NW
1232,"ABRA‐
095398",Active,"Crave, LLC",Mess Hall,"703 EDGEWOOD ST, NE, 
WASHINGTON, DC 20017",,"SMD 
5E02",C,Tavern,703 EDGEWOOD ST NE
244,"ABRA‐
060347",Active,Meze Inc.,Meze,"2437 18TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C07",C,Restaurant,2437 18TH ST NW
1326,"ABRA‐
086435",Active,"Capital Fresh, Inc.",MGM Roast Beef,"1905 BRENTWOOD RD, NE, 
WASHINGTON, DC 20018",2008,"SMD 
5C05",D,Restaurant,1905 BRENTWOOD RD NE
803,"ABRA‐
094784",Active,"Shawarmaji, LLC",Micho's,"500 H ST, NE, WASHINGTON, DC 
20002",2014,"SMD 
6C05",C,Restaurant,500 H ST NE
40,"ABRA‐
072087",Active,"Hak, LLC",Midtown,"1219 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036",c,"SMD 
2B05",C,Nightclub,1219 CONNECTICUT AVE NW
73,"ABRA‐
000460",Active,"Ballances Columbia 
Restaurant Inc.","Millie's And Al's Ballances 
Columbia Restaurant","2440 18TH ST, NW, 
WASHINGTON, DC 20009",c,"SMD 
1C03",C,Restaurant,2440 18TH ST NW
861,"ABRA‐
096758",Active,Mimosa Inc.,Mimosa Restaurant,"1915 18TH ST, NW, 
WASHINGTON, DC 20009",c,"SMD 
2B08",C,Restaurant,1915 18TH ST NW
667,"ABRA‐
089911",Active,"505 Nineth Street 
Partners LLC",MINIBAR,"855 E ST, NW, WASHINGTON, DC",2006,"SMD 
2C01",C,Restaurant,855 E ST NW
667,,,,BARMINI,"855 E ST, NW, WASHINGTON, DC",2013,"SMD 
2C01",C,Restaurant,855 E ST NW
550,"ABRA‐
085865",Active,A.C. Adams LLC,Mintwood Place,"1811 A‐1813 COLUMBIA RD, 
NW, WASHINGTON, DC 20009",2012,"SMD 
1C03",C,Restaurant,1811 A‐1813 COLUMBIA RD NW
394,"ABRA‐
076072",Active,"Mio, DC, LLC",Mio Restaurant,"1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005",c,"SMD 
2F05",C,Restaurant,1110 VERMONT AVE NW
