,Names,Streets,Towns,TownsPlanning,Type,Type2
3114,Grand Teton Brewing Co,430 Old Jackson Hwy ,"Victor, ID 83455-5500 | Map",430 Old Jackson Hwy ,Phone: (208) 538-0068,Type: Micro
3115,Grandma's House,1710 S Broadway ,"Denver, CO 80210-3102 | Map",1710 S Broadway ,Phone: (303) 578-6754,Type: Micro
3116,Granger City Brewing Company, ,"Granger, TX 76530-5305", ,Phone: (512) 717-1859,Type: Planning
3117,Granite City Food (Corp),1828 Abriter Ct ,"Naperville, IL 60563 | Map",1828 Abriter Ct ,Phone: (630) 544-3700,Type: Brewpub
3118,Granite City Food (Corp),801 Plaza Dr ,"Schaumburg, IL 60173 | Map",801 Plaza Dr ,Phone: (630) 523-5700,Type: Brewpub
3119,Granite City Food (Corp),39603 Traditions Dr ,"Northville, MI 48168 | Map",39603 Traditions Dr ,Phone: (248) 662-3400,Type: Brewpub
3120,Granite City Food (Corp),200 American Wy ,"Oxon Hill, MD 20745 | Map",200 American Wy ,Phone: (240) 493-3900,Type: Brewpub
3121,Granite City Food (Corp),3945 2nd St S ,"Saint Cloud, MN 56301-3792 | Map",3945 2nd St S ,Phone: (320) 203-9000,Type: Brewpub
3122,Granite City Food (Corp),2620 S Louise Ave ,"Sioux Falls, SD 57106-4329 | Map",2620 S Louise Ave ,Phone: (605) 362-0000,Type: Brewpub
3123,Granite City Food (Corp),1636 42nd St SW ,"Fargo, ND 58103-3324 | Map",1636 42nd St SW ,Phone: (701) 293-3000,Type: Brewpub
3124,Granite City Food (Corp),12801 University Ave ,"Clive, IA 50325-8219 | Map",12801 University Ave ,Phone: (515) 224-1300,Type: Brewpub
3125,Granite City Food (Corp),4755 1st Ave SE ,"Cedar Rapids, IA 52402-3211 | Map",4755 1st Ave SE ,Phone: (319) 395-7500,Type: Brewpub
3126,Granite City Food (Corp),7144 Harrison Ave Ste 108 ,"Rockford, IL 61112-1013 | Map",7144 Harrison Ave Ste 108 ,Phone: (815) 332-7070,Type: Brewpub
3127,Granite City Food (Corp),15085 W 119th St ,"Olathe, KS 66062-9628 | Map",15085 W 119th St ,Phone: (913) 829-6060,Type: Brewpub
3128,Granite City Food (Corp),2661 Noth Maize ,"West Wichita, KS 67205 | Map",2661 Noth Maize ,Phone: (316) 721-8500,Type: Brewpub
3129,Granite City Food (Corp),5500 Excelsior Blvd ,"St Louis Park, MN 55416-2935 | Map",5500 Excelsior Blvd ,Phone: (952) 746-9900,Type: Brewpub
3130,Granite City Food (Corp),851 Rosedale Ctr ,"Saint Paul, MN 55113-2093 | Map",851 Rosedale Ctr ,Phone: (651) 209-3500,Type: Brewpub
3131,Granite City Food (Corp),1001 N 102nd St ,"Omaha, NE 68114-2155 | Map",1001 N 102nd St ,Phone: (402) 393-5000,Type: Brewpub
3132,Granite City Food (Corp),72 W Towne Mall ,"Madison, WI 53719-1019 | Map",72 W Towne Mall ,Type: Brewpub,www.gcfb.net
3133,Granite City Food (Corp),7001 Xenia Ave S Ste 120 ,"Minneapolis, MN 55416 | Map",7001 Xenia Ave S Ste 120 ,Type: Brewpub,Granite City Food (Corp)
3134,Granite City Food (Corp),PO Box 278 ,"Ellsworth, IA 50075-0278 | Map",PO Box 278 ,Phone: (515) 836-4060,Type: Micro
3135,Granite City Food (Corp),2244 N Webb Rd ,"Wichita, KS 67226-8102 | Map",2244 N Webb Rd ,Phone: (316) 636-5050,Type: Brewpub
3136,Granite City Food (Corp),3330 Pilot Knob Rd ,"Eagan, MN 55121-2055 | Map",3330 Pilot Knob Rd ,Phone: (651) 452-4600,Type: Brewpub
3137,Granite City Food (Corp),8461 NW Prairie View Rd ,"Kansas City, MO 64153-1842 | Map",8461 NW Prairie View Rd ,Phone: (816) 587-3838,Type: Brewpub
3138,Granite City Food (Corp),1701 Village West Pkwy ,"Kansas City, KS 66111-1879 | Map",1701 Village West Pkwy ,Phone: (913) 334-2255,Type: Brewpub
3139,Granite City Food (Corp),5270 Utica Ridge Rd ,"Davenport, IA 52807-3872 | Map",5270 Utica Ridge Rd ,Phone: (563) 344-9700,Type: Brewpub
3140,Granite City Food (Corp),6150 O St ,"Lincoln, NE 68510-2240 | Map",6150 O St ,Phone: (402) 466-1900,Type: Brewpub
3141,Granite City Food (Corp),11909 Main St ,"Maple Grove, MN 55369-7098 | Map",11909 Main St ,Phone: (763) 416-0010,Type: Brewpub
3142,Granite City Food (Corp),6501 Grape Rd Ste 1000 ,"Mishawaka, IN 46545-1010 | Map",6501 Grape Rd Ste 1000 ,Phone: (574) 243-0900,Type: Brewpub
3143,Granite City Food (Corp),150 W 96th St ,"Indianapolis, IN 46260-4802 | Map",150 W 96th St ,Phone: (317) 218-7185,Type: Brewpub
3144,Granite City Food (Corp),2300 Village Dr W ,"Maumee, OH 43537-7550 | Map",2300 Village Dr W ,Phone: (419) 878-9050,Type: Brewpub
3145,Granite City Food (Corp),230 Conference Center Dr ,"East Peoria, IL 61611-9501 | Map",230 Conference Center Dr ,Phone: (309) 669-8080,Type: Brewpub
3146,Granite City Food (Corp),11411 Olive Blvd ,"Creve Coeur, MO 63141-7108 | Map",11411 Olive Blvd ,Phone: (314) 432-3535,Type: Brewpub
3147,Granite City Food (Corp),3809 Coldwater Rd ,"Fort Wayne, IN 46805-1101 | Map",3809 Coldwater Rd ,Phone: (260) 471-3030,Type: Brewpub
3148,Granite City Food (Corp),14035 S La Grange Rd ,"Orland Park, IL 60462-1321 | Map",14035 S La Grange Rd ,Phone: (708) 364-1212,Type: Brewpub
3149,Granite City Food (Corp),699 W Big Beaver Rd ,"Troy, MI 48084-4920 | Map",699 W Big Beaver Rd ,Phone: (248) 519-1040,Type: Brewpub
3150,Granite Falls Brewing Co.,47 Duke St ,"Granite Falls, NC 28630-1807 | Map",47 Duke St ,Phone: (828) 212-1222,Type: Micro
3151,Granite Mountain Brewing,PO Box 1109 123 N Cortez St,"Prescott, AZ 86302-1109 | Map",PO Box 1109 123 N Cortez St,Phone: (928) 778-5535,Type: Micro
3152,Granite Pass Brewing, ,"Venice, CA 90291", ,Type: Planning,Granville Brewing Company
3153,Granville Brewing Company,5371 Columbus Rd ,"Granville, OH 43023-9192 | Map",5371 Columbus Rd ,Phone: (740) 404-2268,Type: Micro
3154,Grapevine Craft Brewery,906 Jean St ,"Grapevine, TX 76051 | Map",906 Jean St ,Phone: (817) 823-7225,Type: Micro
3155,Grasslands Brewing Co,603 W Gaines Street #7 ,"Tallahassee, FL 32304-4307 | Map",603 W Gaines Street #7 ,Type: Contract,www.grasslandsbrewery.com
3156,Gravel Bottom Craft Brewery & Supply,418 Ada Dr SE ,"Ada, MI 49301-9105 | Map",418 Ada Dr SE ,Phone: (206) 403-8563,Type: Micro
3157,Gravity Ales LLC, ,",  ", ,Type: Planning,Gravity Brew Works
3158,Gravity Brew Works,11512 Hwy 14 E ,"Big Flat, AR 72617 | Map",11512 Hwy 14 E ,Phone: (870) 448-2077,Type: Micro
3159,Gravity Brewing,1150 Pine St Unit B ,"Louisville, CO 80027-1463 | Map",1150 Pine St Unit B ,Phone: (303) 544-0746,Type: Micro
3160,Gravity Brewlab,1521 Alton Rd # 591 ,"Miami Beach, FL 33139-3301 | Map",1521 Alton Rd # 591 ,Phone: (786) 536-7085,Type: Contract
3161,Gray Brewing Co,4021 Southwyck Dr ,"Janesville, WI 53546-2014 | Map",4021 Southwyck Dr ,Phone: (608) 756-5430,Type: Micro
3162,GrayDuck Brewery, ,"Hopkins, MN 55305-2624", ,Type: Planning,Grayton Beer Co
3163,Grayton Beer Co,217 Serenoa Rd ,"Santa Rosa Beach, FL 32459-6099 | Map",217 Serenoa Rd ,Phone: (850) 231-4786,Type: Micro
3164,Great Adirondack Brewing Company,PO Box 990 ,"Lake Placid, NY 12946-0990 | Map",PO Box 990 ,Phone: (518) 523-1629,Type: Brewpub
3165,"Great American Restaurants, Sweetwater Tavern",14250 Sweetwater Ln ,"Centreville, VA 20121-5336 | Map",14250 Sweetwater Ln ,Phone: (703) 449-1100,Type: Brewpub
3166,"Great American Restaurants, Sweetwater Tavern",3066 Gate House Plz ,"Falls Church, VA 22042-1028 | Map",3066 Gate House Plz ,Phone: (703) 645-8100,Type: Brewpub
3167,"Great American Restaurants, Sweetwater Tavern",45980 Waterview Plz ,"Sterling, VA 20166-6556 | Map",45980 Waterview Plz ,Phone: (571) 434-6500,Type: Brewpub
3168,Great Baraboo Brewing Co,35905 Utica Rd ,"Clinton Township, MI 48035-2155 | Map",35905 Utica Rd ,Phone: (586) 792-7397,Type: Brewpub
3169,Great Barn Brewery, ,",  ", ,Type: Planning,Great Basin Brewing Co
3170,Great Basin Brewing Co,846 Victorian Ave ,"Sparks, NV 89431-5275 | Map",846 Victorian Ave ,Phone: (775) 355-7711,Type: Brewpub
3171,Great Basin Brewing Co,5525 S Virginia St ,"Reno, NV 89502-6085 | Map",5525 S Virginia St ,Phone: (775) 284-7711,Type: Brewpub
3172,Great Basin Brewing Co,1155 S Rock Blvd Ste 490 ,"Reno, NV 89502-7174 | Map",1155 S Rock Blvd Ste 490 ,Phone: (775) 355-7711,Type: Micro
3173,Great Beer Co,21119 Superior St ,"Chatsworth, CA 91311-4309 | Map",21119 Superior St ,Phone: (818) 718-2739,Type: Contract
3174,Great Black Swamp Brewing Co,3323 Monroe St ,"Toledo, OH 43606-4553 | Map",3323 Monroe St ,Phone: (419) 973-1256,Type: Micro
3175,Great Blue Yonder Brewery, ,"Delray Beach, FL ", ,Type: Planning,www.greatblueyonderbrewery.com
3176,Great Burn Brewing,2230 McDonald Ave ,"Missoula, MT 59801-8802 | Map",2230 McDonald Ave ,Phone: (406) 317-1557,Type: Micro
3177,Great Central Brewing Company, ,"Naperville, IL 60563-2794", ,Type: Planning,Great Crescent Brewery
3178,Great Crescent Brewery,315 Importing St ,"Aurora, IN 47001-1415 | Map",315 Importing St ,Phone: 812-655-9079,Type: Micro
3179,Great Dane Pub and Brewing Co - Downtown,2980 Cahill Main ,"Fitchburg, WI 53711-7146 | Map",2980 Cahill Main ,Phone: (608) 442-9000,Type: Brewpub
3180,Great Dane Pub and Brewing Co - Downtown,123 E Doty St Ste 1 ,"Madison, WI 53703-5134 | Map",123 E Doty St Ste 1 ,Phone: (608) 284-0000,Type: Brewpub
3181,Great Dane Pub and Brewing Co - Downtown,2305 Sherman St ,"Wausau, WI 54401-1708 | Map",2305 Sherman St ,Phone: (715) 845-3000,Type: Brewpub
3182,Great Dane Pub and Brewing Co - Downtown,357 Price Pl ,"Madison, WI 53705-3208 | Map",357 Price Pl ,Phone: (608) 661-9400,Type: Brewpub
3183,Great Dane Pub and Brewing Co - Downtown,876 Jupiter Dr ,"Madison, WI 53718-2962 | Map",876 Jupiter Dr ,Phone: (608) 442-1333,Type: Brewpub
3184,Great Deep Brewing Co / Mermaid Tavern & Grille,140 Aspinall Ave ,"Hagatna, GU 96910-5168 | Map",140 Aspinall Ave ,Phone: (671) 472-2337,Type: Brewpub
3185,Great Divide Brewing Co,2201 Arapahoe St ,"Denver, CO 80205-2512 | Map",2201 Arapahoe St ,Phone: (303) 296-9460,Type: Regional
3186,Great Flood Brewing,2120 Bardstown Rd ,"Louisville, KY 40205-1916 | Map",2120 Bardstown Rd ,Phone: (502) 457-7711,Type: Micro
3187,Great Frontier Brewing Company, ,"Littleton, CO 80128-3950", ,Phone: (303) 932-7335,Type: Micro
3188,Great Heights Brewing Company, ,"Redondo Beach, CA 90278-2737", ,Type: Planning,Great Lakes Brewing Co
3189,Great Lakes Brewing Co,1947 W 28th St ,"Cleveland, OH 44113-3422 | Map",1947 W 28th St ,Phone: (216) 771-4404,Type: Regional
3190,Great Lakes Brewing Co,2516 Market Ave ,"Cleveland, OH 44113-3434 | Map",2516 Market Ave ,Type: Brewpub,www.greatlakesbrewing.com
3191,Great Life Brewing, ,"West Park, NY 12493", ,Type: Planning,Great New London Brewing Co / Safe Harbor Brewing
3192,Great New London Brewing Co / Safe Harbor Brewing, ,"New London, CT ", ,Phone: (860) 599-8213,Type: Contract
3193,Great North Aleworks,1050 Holt Ave Unit 14 ,"Manchester, NH 03109-5615 | Map",1050 Holt Ave Unit 14 ,Type: Micro,www.greatnorthaleworks.com
3194,Great Northern Brewing Co,2 Central Ave ,"Whitefish, MT 59937-2547 | Map",2 Central Ave ,Phone: (406) 863-1000,Type: Brewpub
3195,Great Raft Brewing,1251 Dalzell St ,"Shreveport, LA 71103-3705 | Map",1251 Dalzell St ,Phone: (318) 734-8101,Type: Micro
3196,Great Rhythm Brewing Co.,225 Heritage Ave ,"Portsmouth, NH 03801-5610 | Map",225 Heritage Ave ,Phone: (603) 300-8588,Type: Micro
3197,Great River Brewery,332 E 2nd St ,"Davenport, IA 52801-1702 | Map",332 E 2nd St ,Phone: (319) 541-5160,Type: Micro
3198,Great South Bay Brewery,25 Drexel Dr ,"Bay Shore, NY 11706-2234 | Map",25 Drexel Dr ,Phone: (631) 392-8472,Type: Micro
3199,Great Storm Brewing Co,204 Mount View Ln Ste 3 ,"Colorado Springs, CO 80907-4375 | Map",204 Mount View Ln Ste 3 ,Phone: (719) 266-4200,Type: Micro
3200,Great Waters Brewing Co,426 Saint Peter St ,"Saint Paul, MN 55102-1105 | Map",426 Saint Peter St ,Phone: (651) 224-2739,Type: Brewpub
3201,Green Bench Brewing Co,1133 Baum Ave N ,"Saint Petersburg, FL 33705 | Map",1133 Baum Ave N ,Phone: (717) 800-7836,Type: Micro
3202,Green Feet Brewing  - Brewery In Planning - Tucson, ,"Tucson, AZ 85713-6814", ,Type: Planning,www.greenfeetbrewing.com
3203,Green Flash Brewing Co,6550 Mira Mesa Blvd ,"San Diego, CA 92121-4100 | Map",6550 Mira Mesa Blvd ,Phone: (858) 622-0085,Type: Regional
3204,"Green Gecko Brewing Co - Montserrat, BWI", ,",  ", ,Type: Planning,Green Man Brewing Co
3205,Green Man Brewing Co,23 Buxton Ave ,"Asheville, NC 28801-4019 | Map",23 Buxton Ave ,Phone: (828) 252-5502,Type: Micro
3206,Green Room Brewing,228 3rd St N ,"Jacksonville Beach, FL 32250-6935 | Map",228 3rd St N ,Phone: (904) 201-9283,Type: Micro
3207,Green Room Burgers & Beer,4010 Pennsylvania Ave ,"Kansas City, MO 64111-3010 | Map",4010 Pennsylvania Ave ,Phone: (816) 216-7682,Type: Brewpub
3208,Green Tree Brewery,309 N. Cody Rd ,"Le Claire, IA 52753-9220 | Map",309 N. Cody Rd ,Phone: (563) 729-1164,Type: Micro
3209,Green Wolf Brewing Co,315 Main St ,"Middleburgh, NY 12122 | Map",315 Main St ,Phone: (518) 827-6444,Type: Micro
3210,Greenbrier Valley Brewing Co,862 Industrial Park Rd Ste A ,"Maxwelton, WV 24957-8061 | Map",862 Industrial Park Rd Ste A ,Phone: (304) 520-4669,Type: Micro
3211,Greenbush Brewing Co,5885 Sawyer Rd ,"Sawyer, MI 49125-9380 | Map",5885 Sawyer Rd ,Phone: (269) 405-1076,Type: Regional
3212,Greenpoint Beer & Ale Co., ,"Brooklyn, NY 11222-1681", ,Phone: (252) 305-0254,Type: Brewpub
3213,Greenpoint Beer Works Inc / KelSo Beer Company,529 Waverly Ave ,"Brooklyn, NY 11238-2701 | Map",529 Waverly Ave ,Type: Regional,www.kelsoofbrooklyn.com
3214,"Greenport Harbor Brewing Co, LLC",42155 Main Road ,"Peconic, NY 11958 | Map",42155 Main Road ,Phone: (631) 513-9019,Type: Micro
3215,Greenspring Brewing Company,2309 Greespring Ct. ,"Chesapeake Beach, MD 20732-4664 | Map",2309 Greespring Ct. ,Phone: (410) 206-3918,Type: Micro
3216,Greenstar Brewing At Uncommon Ground,3810 N Clark St ,"Chicago, IL 60613-2812 | Map",3810 N Clark St ,Phone: (847) 219-8834,Type: Brewpub
3217,Greenview Brewing LLC,4539 Helgesen Dr ,"Madison, WI 53718-6747 | Map",4539 Helgesen Dr ,Phone: (608) 352-3373,Type: Micro
3218,Greer Brewing, ,",  ", ,Type: Planning,Grey Sail Brewing Co. LLC
3219,Grey Sail Brewing Co. LLC,63 Canal St ,"Westerly, RI 02891-1552 | Map",63 Canal St ,Phone: (410) 212-7592,Type: Micro
3220,Greyline Brewing, ,"Grand Rapids, MI 49504-2809", ,Phone: 616.821.3786,Type: Planning
3221,Greyrock Brewing Company, ,"Fort Collins, CO 80526-1512", ,Type: Planning,Griesedieck Brothers Brewery
3222,Griesedieck Brothers Brewery,PO Box 31203 ,"Saint Louis, MO 63131-0203 | Map",PO Box 31203 ,Type: Contract,www.gb-beer.com
3223,"Griess Family Brews, LLC",220 SW H St ,"Grants Pass, OR 97526-2508 | Map",220 SW H St ,Phone: (541) 450-9090,Type: Micro
3224,Griffin Claw Brewing Co,575 S Eton St ,"Birmingham, MI 48009-6824 | Map",575 S Eton St ,Type: Micro,www.griffinclawbrewingcompany.com
3225,Griffin Hill Farm Brewery, ,",  ", ,Type: Planning,Grillen Brewing Company
3226,Grillen Brewing Company, ,",  ", ,Type: Planning,www.grillenbrewing.com
3227,Grillin & Chillin Alehouse,401 McCray St # B24 ,"Hollister, CA 95023-4096 | Map",401 McCray St # B24 ,Phone: (831) 637-2337,Type: Brewpub
3228,Grimm Artisanal Ales, ,"Brooklyn, NY 11215", ,Phone: (678) 895-1489,Type: Contract
3229,"Grimm Brothers Brewhouse, LLC",547 Denver Ave ,"Loveland, CO 80537-5127 | Map",547 Denver Ave ,Phone: (970) 624-6045,Type: Micro
3230,Grimm's Tree Brewing, ,"Saint Louis, MO 63105", ,Phone: (314) 566-9346,Type: Planning
3231,Grinder’s High Noon,206 Choctaw St ,"Leavenworth, KS 66048-2821 | Map",206 Choctaw St ,Phone: (913) 682-4876,Type: Brewpub
3232,Grist Brewing Company,9150 Commerce Center Circle #300 ,"Highlands Ranch, CO 80129-1563 | Map",9150 Commerce Center Circle #300 ,Phone: (720) 360-4782,Type: Micro
3233,Grist House Brewing,10 Sherman St ,"Pittsburgh, PA 15209 | Map",10 Sherman St ,Phone: (412) 447-1442,Type: Brewpub
3234,Grist Iron Brewing Co., ,"Burdett, NY 14818-9729", ,Phone: (607) 731-2109,Type: Planning
3235,Gristworkz, ,"Houston, TX 77027", ,Type: Planning,Gritty McDuffs - Portland
3236,Gritty McDuffs - Portland,PO Box 328 ,"Freeport, ME 04032-0328 | Map",PO Box 328 ,Phone: (207) 865-4321,Type: Brewpub
3237,Gritty McDuffs - Portland,396 Fore St ,"Portland, ME 04101-4026 | Map",396 Fore St ,Phone: (207) 772-2739,Type: Brewpub
3238,Gritty McDuffs - Portland,68 Main St ,"Auburn, ME 04210-5812 | Map",68 Main St ,Phone: (207) 376-2739,Type: Brewpub
3239,Grixsen Brewing Co, ,",  ", ,Type: Planning,Grossen Bart Brewery
3240,Grossen Bart Brewery,1025 Delaware Ave ,"Longmont, CO 80501-6187 | Map",1025 Delaware Ave ,Phone: (214) 770-9847,Type: Micro
3241,Groundbreaker Brewing,715 SE Lincoln St ,"Portland, OR 97214-4600 | Map",715 SE Lincoln St ,Phone: (503) 928-4195,Type: Micro
3242,Groundswell Brewing Co,6304 Riverdale St ,"San Diego, CA 92120-3310 | Map",6304 Riverdale St ,Type: Micro,Grove Street Brewhouse
3243,Grove Street Brewhouse,233 S 1st St ,"Shelton, WA 98584-2243 | Map",233 S 1st St ,Phone: (360) 462-2739,Type: Brewpub
3244,Growler Bay Brewing Co, ,"Valdez, AK ", ,Type: Planning,Growlers Brewpub
3245,Growlers Brewpub,227 E Diamond Ave ,"Gaithersburg, MD 20877-3015 | Map",227 E Diamond Ave ,Phone: (301) 519-9400,Type: Brewpub
3246,Growling Bear Brewing Company,14051 Crown Ct. ,"Woodbridge, VA 22193 | Map",14051 Crown Ct. ,Phone: (571) 535-1965,Type: Brewpub
3247,Gruhlke's Microbrewery / Bias Vineyards,3166 Highway B ,"Berger, MO 63014-1418 | Map",3166 Highway B ,Phone: (573) 834-5475,Type: Brewpub
3248,"Grumpy Troll, The",105 S 2nd St ,"Mount Horeb, WI 53572-2105 | Map",105 S 2nd St ,Phone: (608) 437-2739,Type: Brewpub
3249,GSP Craft Brewing, ,"Gig Harbor, WA 98335-4538", ,Phone: (253) 328-1121,Type: Planning
3250,Guadalupe Brewery,"5674 El Camino Real, Suite D ","Carlsbad, CA 92008-7130 | Map","5674 El Camino Real, Suite D ",Phone: (858) 751-4278,Type: Micro
3251,Guadalupe Brewery,168 Rachel Dr ,"Canyon Lake, TX 78133-3527 | Map",168 Rachel Dr ,Phone: (512) 878-9214,Type: Micro
3252,Guerrilla Brewing Company, ,"Reno, NV 89509-2827", ,Type: Contract,"Gull Dam Brewing, Inc."
3253,"Gull Dam Brewing, Inc.",23836 Smiley Rd  ,"Nisswa, MN 56468-2432 | Map",23836 Smiley Rd  ,Phone: (218) 963-2739,Type: Micro
3254,Gun Flint Tavern,111 W. Wisconsin St. ,"Grand Marais, MN 55604-5019 | Map",111 W. Wisconsin St. ,Phone: (218) 387-1563,Type: Brewpub
3255,Gun Hill Brewing Co,3227 Laconia Ave ,"Bronx, NY 10469-1403 | Map",3227 Laconia Ave ,Phone: (718) 881-0010,Type: Micro
3256,Gunbarrel Brewing Company, ,"Boulder, CO 80301", ,Type: Contract,www.gunbarrelbrewing.com
3257,Gunpowder Falls Brewing Co,15556 Elm Dr ,"New Freedom, PA 17349-9344 | Map",15556 Elm Dr ,Phone: (717) 759-0330,Type: Micro
3258,Guns & Oil Brewing, ,"Austin, TX 78731", ,Type: Contract,www.gunsandoil.com
3259,Gyppo Ale Mill, ,"Whitethorn, CA 95589-0627", ,Phone: (707) 223-3443,Type: Planning
3260,Haas Innovations Brewhouse,1600 River Rd ,"Yakima, WA 98902-1249 | Map",1600 River Rd ,Type: Micro,Haff Brewing
3261,Haff Brewing,4340 Chinden Blvd ,"Garden City, ID 83712 | Map",4340 Chinden Blvd ,Phone: (208) 830-0441,Type: Micro
3262,HailStorm Brewing Company,8060 186th St ,"Tinley Park, IL 60487-9215 | Map",8060 186th St ,Phone: (312) 961-0568,Type: Micro
3263,Haines Brewing Co,White Fang Drive ,"Haines, AK 99827 | Map",White Fang Drive ,Phone: (907) 766-3823,Type: Micro
3264,Hair of the Dog Brewing Co,61 SE Yamhill St ,"Portland, OR 97214-2134 | Map",61 SE Yamhill St ,Phone: (503) 232-6585,Type: Micro
3265,Hairless Hare Brewery,738 W National Rd ,"Vandalia, OH 45377-1015 | Map",738 W National Rd ,Type: Micro,www.hairlessharebrewery.com
3266,Hale's Ales Brewery and Pub,4301 Leary Way NW ,"Seattle, WA 98107-4538 | Map",4301 Leary Way NW ,Phone: (206) 706-1544,Type: Micro
3267,Half Acre Beer Co,4257 N Lincoln Ave ,"Chicago, IL 60618-2953 | Map",4257 N Lincoln Ave ,Phone: (773) 248-4038,Type: Regional
3268,Half Batch Brewing, ,"Hendersonville, TN 37075", ,Type: Planning,Half Door Brewing Company
3269,Half Door Brewing Company,903 Island Ave ,"San Diego, CA 92101-7227 | Map",903 Island Ave ,Type: Brewpub,www.halfdoorbrewing.com
3270,Half Full Brewery,43 Homestead Ave ,"Stamford, CT 06902-7204 | Map",43 Homestead Ave ,Phone: (203) 274-8788,Type: Micro
3271,Half Moon Bay Brewing Co,PO Box 879 ,"El Granada, CA 94018-0879 | Map",PO Box 879 ,Phone: (650) 728-2739,Type: Brewpub
3272,Half Moon Restaurant & Brewery,4051 S Lafountain St ,"Kokomo, IN 46902-6913 | Map",4051 S Lafountain St ,Phone: (765) 455-2739,Type: Brewpub
3273,Halfmile Brewing, ,",  ", ,Type: Planning,Halfpenny Brewing Company
3274,Halfpenny Brewing Company, ,"Littleton, CO 80122-4819", ,Type: Planning,Hall Brewing Company
3275,Hall Brewing Company,8530 Vinegarroon Rd ,"Parker, CO 80138-6717 | Map",8530 Vinegarroon Rd ,Type: Micro,www.hallbrewingco.com
3276,Hamburg Brewing Company,6553 Boston State Rd ,"Hamburg, NY 14075-6630 | Map",6553 Boston State Rd ,Phone: (716) 649-3249,Type: Brewpub
3277,Hamburger Mary's,5400 N Clark St ,"Chicago, IL 60640-1210 | Map",5400 N Clark St ,Phone: (773) 784-6969,Type: Brewpub
3278,Hamilton Family Brewery,"9757 Seventh St, Suite 802 ","Rancho Cucamonga, CA 91730-5297 | Map","9757 Seventh St, Suite 802 ",Phone: (909) 261-2870,Type: Micro
3279,HammerHeart Brewing Company,7785 Lake Dr ,"Lino Lakes, MN 55014-1109 | Map",7785 Lake Dr ,Phone: (651) 964-2160,Type: Micro
3280,Hand Of Fate Brewing Co, ,",  ", ,Type: Planning,Hand-Brewed Beer
3281,Hand-Brewed Beer,9771 Variel Ave ,"Chatsworth, CA 91311-4315 | Map",9771 Variel Ave ,Phone: (818) 920-8422,Type: Micro
3282,Handcraft Brewing,9183 Survey Rd Ste 104 ,"Elk Grove, CA 95624-9712 | Map",9183 Survey Rd Ste 104 ,Phone: (916) 525-2739,Type: Contract
3283,Hangar 24 Craft Brewery,1710 Sessums Dr ,"Redlands, CA 92374-1909 | Map",1710 Sessums Dr ,Phone: (909) 389-1400,Type: Regional
3284,Hangar Brewing Company, ,"Fort Garland, CO 81133-9532", ,Type: Planning,Hanging Hills Brewing Company
3285,Hanging Hills Brewing Company, ,"Hartford, CT ", ,Type: Planning,Hank Is Wiser Brewery
3286,Hank Is Wiser Brewery,213 N Main St PO Box 400,"Cheney, KS 67025-9730 | Map",213 N Main St PO Box 400,Phone: (316) 542-0113,Type: Brewpub
3287,Hansa Brewing Co., ,"Venice, CA 90291-5638", ,Phone: (310) 399-4343,Type: Planning
3288,Hanson Brothers Beer Company, ,",  ", ,Type: Contract,www.mmmhops.com
3289,Hanson Brothers Brewing,26208 E Idaho Pines Lake ,"Newman Lake, WA 99025 | Map",26208 E Idaho Pines Lake ,Type: Micro,www.hansonbrothersbrewing.com
3290,Happy Valley Brewing Company,137 Elmwood St ,"State College, PA 16801-6851 | Map",137 Elmwood St ,Phone: (814) 234-4406,Type: Brewpub
3291,"Hard Knocks Brewing, LLC",1024 E Main St Ste 4 ,"Cottage Grove, OR 97424-2230 | Map",1024 E Main St Ste 4 ,Phone: (541) 942-3631,Type: Brewpub
3292,Hardihood Brewing Co, ,"Fort Collins, CO 80525", ,Type: Planning,www.hardihoodbrewing.com
3293,Hardywood Park Craft Brewery,2408 Ownby Ln ,"Richmond, VA 23220-1319 | Map",2408 Ownby Ln ,Phone: (804) 420-2420,Type: Micro
3294,Harlem Blue Beer,2214 Frederick Douglass Blvd Suite 233 ,"New York, NY 10026-1123 | Map",2214 Frederick Douglass Blvd Suite 233 ,Type: Contract,Harlem Brewing Co
3295,Harlem Brewing Co, ,"New York, NY 10026", ,Phone: (888) 559-6735,Type: Contract
3296,Harmon Brewery & Restaurant,1938 Pacific Ave ,"Tacoma, WA 98402-3110 | Map",1938 Pacific Ave ,Phone: (253) 383-2739,Type: Brewpub
3297,Harmon Taproom,204 St Helens Ave ,"Tacoma, WA 98402-2522 | Map",204 St Helens Ave ,Phone: (253) 212-2725,Type: Brewpub
3298,Harmonic Brewing,1050 26th Street ,"San Francisco, CA 94107-3513 | Map",1050 26th Street ,Type: Micro,www.harmonicbrewing.com
3299,Harmony Brewing Co,1551 Lake Dr SE ,"Grand Rapids, MI 49506-2705 | Map",1551 Lake Dr SE ,Phone: (616) 233-0063,Type: Brewpub
3300,Harpers Restaurant and Brewpub,131 Albert Ave ,"East Lansing, MI 48823-4315 | Map",131 Albert Ave ,Phone: (517) 333-4040,Type: Brewpub
3301,Harpoon Brewery,336 Ruth Carney Dr ,"Windsor, VT 05089-9419 | Map",336 Ruth Carney Dr ,Phone: (802) 674-5491,Type: Regional
